path,ext,size,sha,status,chars,duplicate_of,note
Memorie passate + template/CONTENZIOSO_Maria_Rosa/ENERGIA/MEMORIA DI COSTITUZIONE IN GIUDIZIO COMUNE DI BITRITTO C- E-DISTRIBUZIONE_revMaria.docx,.docx,26148,4869022e942c,converted,15414,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/GAS/BITRITTO C- ITALGAS_revMaria_avvCATURANI_DE MARTINO.docx,.docx,31965,3b0f300ba916,converted,21580,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/GAS/CAPRIATE SAN GERVASIO C- ITALGAS RETI  SPA_revMaria24Aprile.docx,.docx,46773,d37a157395f7,converted,25678,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/GAS/CINISELLO BALSAMO UNARETI MEMORIA DI COSTITUZIONE IN GIUDIZIO COMUNE DI CINISELLO BALSAMO C- UNARETI.docx,.docx,35228,2dfffe47fd75,converted,24142,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/GAS/COMPARSA COSTITUZIONE COMUNE SESSA AURUNCA C- ITALGAS.docx,.docx,94431,9ad1723795d2,converted,22154,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/GAS/COMPARSA DI COSTITUZIONE COMUNE DI CASAGIOVE C- ITALGAS_revMaria.docx,.docx,30109,8164ad260144,converted,19767,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/GAS/Geset Portici c - ITALGAS spa Comparsa di Costituzione.docx,.docx,50119,b62d38286e5a,converted,32726,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/GAS/Memoria di Costituzione Comune di PALAGIANO c. ITALGAS.docx,.docx,243433,5cab68c5a90f,converted,17733,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/GAS/NOTA PER FUNZIONARIO COMUNE SESSA AURUNCA SU CONTENZIOSO ITALGAS.docx,.docx,63176,24fa61beb6f6,converted,8614,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/GAS/PALAGIANO_ITALGASavvPATTI_revMaria.docx,.docx,243592,b94ea7f58407,converted,17734,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/CASSAZIONE 2180.pdf,.pdf,194651,8b12bc8f3dcb,converted,7312,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/COMPARSE E MEMORIE/BELFORTE ALL_ISAURO c- Marche Multiservizi_avvCicerchia_revMaria.docx,.docx,26996,4ff78e14ba5b,converted,23645,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/COMPARSE E MEMORIE/COMPARSA DI COSTITUZIONE COMUNE DI PALAGIANO C- ACQUEDOTTO PUGLIESE.docx,.docx,37400,ae824818b018,converted,31397,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/COMPARSE E MEMORIE/COMPARSA DI COSTITUZIONE COMUNE DI PALAGIANO C- ACQUEDOTTO PUGLIESE.pdf,.pdf,743589,3ac25f87a3ea,converted,31806,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/COMPARSE E MEMORIE/Capriate c. UniAcque_revMaria_avvSeverino_Bertocchi.docx,.docx,28183,15c719342d50,converted,18506,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/COMPARSE E MEMORIE/Comparsa di Costituzione Comune di Aquara c- ASIS spa_avvALFANO02_04_26.pdf,.pdf,396887,48c51edff08b,converted,26010,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/COMPARSE E MEMORIE/Comparsa di Costituzione Comune di Aquara c- ASIS spa_avvALFANO_02_04_26.docx,.docx,34480,85c1ddbfeb08,converted,25639,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/COMPARSE E MEMORIE/Comune di Portici c. GORI - Comparsa di costituzione.docx,.docx,39897,709f9d534355,converted,15812,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/COMPARSE E MEMORIE/MEMORIA DI COSTITUZIONE CINISELLO BALSAMO C- CAP HOLDING_revMaria8LUGLIO.docx,.docx,29206,98a4e8d1d252,converted,19088,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/COMPARSE E MEMORIE/MEMORIA DI COSTITUZIONE COMUNE DI CINISELLO BALSAMO C- CAP HOLDING.docx,.docx,29206,98a4e8d1d252,duplicate,0,Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/COMPARSE E MEMORIE/MEMORIA DI COSTITUZIONE CINISELLO BALSAMO C- CAP HOLDING_revMaria8LUGLIO.docx,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/COMPARSE E MEMORIE/MEMORIA DI COSTITUZIONE IN GIUDIZIO COMUNE DI BITRITTO C- ACQUEDOTTO PUGLIESE rev Maria 14.7.26 .docx,.docx,33356,e82451408a94,converted,22399,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/CUP – Con il Servizio Idrico Integrato si paga il canone per due distinti servizi di rete.pdf,.pdf,100033,0d3d42335a21,converted,7025,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/Capriate c. UniAcque_revMaria versSuperdef_avv Ardolino_Severino.docx,.docx,30509,c8737dd29156,converted,20028,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/Comparsa di Costituzione in Giudizio Comune di Palestro c - PaviaAcque_revMaria2Luglio.docx,.docx,31945,2cd4d862556c,converted,25006,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/Comune di Portici c. GORI - Comparsa di costituzione.docx,.docx,39897,709f9d534355,duplicate,0,Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/COMPARSE E MEMORIE/Comune di Portici c. GORI - Comparsa di costituzione.docx,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/Corte D’Appello di Venezia – Sez. II – Sentenza 84 del 9 3 2026.pdf,.pdf,373283,a32dea7c0a5e,converted,28990,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/Delibera Corte dei Conti _216_2024_Lombardia.pdf,.pdf,128872,6c0f5dac6ad7,converted,11666,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/Il CUP per il servizio idrico è dovuto anche dalla società in house del Comune.pdf,.pdf,110292,9945ca7c1a62,converted,8545,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/LE AZIENDE MUNICIPALIZZATE DEL SERVIZIO IDRICO PAGANO IL CUP.docx,.docx,21089,2b1b5600c394,converted,11859,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/Le Aziende Municipalizzate del Servizio Idrico Integrato pagano il CUP.pdf,.pdf,114488,47ce5e0b5604,converted,12193,,
